id,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,movie_facebook_likes,title_embedding,average_degree_centrality,imdb_score_binned
1,Roger Allers,186,73,28,847,Nathan Lane,2000,422783777,Adventure|Animation|Drama|Family|Musical,Matthew Broderick,The Lion King ,644348,6458,Niketa Calame,0,king|prince|scar|uncle|unnecessary guilt,656,English,USA,G,1994,886,17000,"[-4.1984697e-03  4.2941985e-03 -1.1961063e-03  3.6814427e-03
  3.2565726e-03 -3.5001317e-03  1.0069078e-03  1.1182259e-03
  4.2644851e-03 -1.0382137e-03 -3.6454869e-03 -6.9513317e-04
 -1.1519078e-03  2.2030093e-03 -1.7748430e-03 -3.1937044e-03
 -6.5757957e-04  1.7453490e-04 -2.2419260e-03 -3.0175799e-03
 -3.5909249e-03 -4.7650263e-03 -2.1646160e-03  5.1170369e-03
 -8.7369876e-03 -5.5002053e-03 -1.8632645e-03 -1.6813033e-03
 -1.9086580e-03 -1.5372996e-03  7.3320977e-04 -3.6102086e-03
  4.6479381e-03 -7.4564219e-03 -2.2147747e-03  1.0003914e-02
  3.0996688e-03  9.7796484e-04  2.5147211e-03 -2.3555579e-03
  8.6343372e-03 -5.6004054e-03 -1.6822485e-03 -3.8470356e-03
 -1.5438221e-03 -3.9288620e-03 -2.6225317e-03  3.7558300e-03
  1.4958460e-03  6.0779587e-03 -3.9718510e-03 -5.4420657e-03
  9.4871456e-03 -5.3161406e-03 -1.4914786e-03 -2.3536941e-03
  5.4897196e-03 -6.9670402e-03  2.6748128e-05  1.8063770e-03
  2.1376107e-03 -6.1884883e-04 -3.6032442e-03  7.2673097e-04
 -1.0546452e-04  4.9088709e-03  4.7281794e-03 -2.3440477e-03
  2.3269162e-03  3.0532351e-03 -5.4973160e-04 -1.7421799e-03
 -3.2015813e-03 -4.7387998e-03 -5.2552600e-04  1.0172343e-03
 -2.5326067e-03 -2.6294745e-03 -4.3483493e-03  1.0115430e-03
  2.1142992e-03 -3.2081220e-03 -4.3031317e-03  2.3430854e-04
 -2.8763907e-03 -8.4729949e-03  9.6179005e-03  1.7913071e-03
  4.2210103e-04 -1.9562319e-03  4.7462834e-03  3.7700564e-03
  1.3900598e-03  3.0756239e-03 -8.1315553e-03  1.5980400e-03
  6.6428096e-03  2.4002718e-03 -3.9325114e-03 -5.5265627e-03]",0.001575867,4
2,George A. Romero,252,97,0,233,Shawn Roberts,654,20433940,Horror,Tony Nappo,Land of the Dead ,78883,1876,Pedro Miguel Arce,8,apocalypse|mercenary|skyscraper|urban setting|zombie apocalypse,662,English,Canada,R,2005,529,0,"[-4.7586653e-03  2.6511205e-03 -3.7954253e-04  1.6349870e-03
  3.9392547e-03 -3.7583252e-03 -1.5590766e-04  4.1961358e-03
  1.6131590e-03 -2.8297014e-04  2.3158832e-04 -2.0897123e-03
  1.7149242e-03  3.2352647e-03 -1.8403607e-03 -3.2296737e-03
  3.9933209e-04  2.7567414e-03 -4.1338278e-04 -2.7588988e-03
 -6.1161845e-04 -5.0325319e-03 -7.1516808e-04  2.3096041e-03
 -4.6035964e-03 -4.6629156e-03 -3.0283239e-03 -2.8492929e-03
 -1.7441094e-03  9.1002375e-04  8.6273684e-04 -9.7783993e-04
  4.3355604e-03 -7.0239292e-03 -1.8167774e-03  8.1412215e-03
 -1.5321000e-04 -1.7116880e-03  3.8490763e-03 -2.0218790e-03
  1.0812180e-02 -4.9829767e-03 -3.0444581e-03 -3.1845928e-03
 -1.7263751e-03 -3.7739053e-03 -1.2037450e-03  2.7814582e-03
  5.7564781e-04  3.2876162e-03 -1.3918392e-03 -6.1444868e-03
  9.2946738e-03 -6.2553901e-03 -3.1185630e-03 -2.9001404e-03
  6.0873558e-03 -7.5561670e-03  9.0554391e-04  8.4852212e-04
  8.6331979e-04  5.9017341e-04 -7.1362138e-04  9.3553902e-04
 -6.5964501e-04  5.2211806e-03  3.5934574e-03 -2.4971601e-03
  7.1360286e-05  3.2149530e-03 -8.6681393e-05 -1.6570850e-03
 -7.5918634e-04 -2.6712958e-03  6.8902824e-05  8.2646246e-04
 -1.5361717e-03 -2.0238743e-03 -3.7741023e-03 -3.2209192e-04
  1.7967538e-03 -1.6275742e-03 -2.7972590e-03 -8.7200128e-04
 -2.0871325e-03 -8.5036792e-03  8.8108145e-03  1.5136965e-03
  1.2574727e-03 -2.3419335e-03  5.0359508e-03  3.9408309e-03
  3.2054260e-03  1.1620341e-03 -5.8043753e-03  2.1590206e-03
  3.5749627e-03 -7.1013061e-04 -3.4381370e-03 -6.7875474e-03]",0.000675371,2
3,David Gordon Green,232,117,234,221,Tye Sheridan,12000,371897,Drama,Nicolas Cage,Joe ,36494,13607,Ronnie Gene Blevins,2,alcoholic|cigarette smoking|father son relationship|teenage boy|woods,118,English,USA,R,2013,1000,11000,"[ 2.78131524e-03 -3.15494463e-03 -6.38332494e-05  3.09678051e-03
  2.03565112e-03 -6.83897408e-03 -3.70965409e-03  5.58699772e-04
 -3.77951446e-03  3.44480993e-03 -1.92480104e-03 -4.22905636e-04
  3.95805255e-04  1.16449257e-03 -2.51391134e-03 -4.17667237e-04
 -9.31099057e-05  2.61449744e-03 -7.18938129e-04 -3.22396192e-03
 -1.08645239e-03 -6.06319983e-04 -1.99642405e-03 -1.04584754e-03
 -5.16468717e-04 -4.29109437e-03 -2.83488585e-03  1.47587806e-03
 -2.00640046e-04 -3.96654854e-04  6.84038911e-04 -2.52482889e-04
 -9.15806377e-05  1.14623841e-03 -4.31241206e-04  2.45511089e-03
 -4.60120710e-03 -2.07645749e-03  7.85348064e-04 -2.46671657e-03
  3.18645732e-03  1.20260648e-03 -1.86505931e-04  4.81430587e-04
 -9.80686047e-04 -2.44817184e-03 -2.95083853e-03 -1.43775961e-03
  3.44572728e-03 -3.53339151e-03 -2.85871117e-03 -3.01133172e-04
  4.77999356e-03 -1.28625031e-03 -1.20018446e-03  4.52287000e-04
 -3.28158354e-03 -3.67050804e-03 -2.67701806e-03  3.43580125e-03
  1.33057113e-03 -9.56583943e-04 -2.20673927e-03  6.67485467e-04
  2.22581439e-03 -6.35464676e-04 -2.77514164e-06 -1.90162752e-03
  3.26922419e-03  8.96425976e-04 -6.28652691e-04 -5.21487382e-04
  5.23206836e-04 -1.45832018e-03 -8.65843958e-06 -2.91427015e-03
 -3.95643379e-04  4.38468857e-03 -2.82605784e-03  2.37488211e-03
 -2.43521458e-03 -2.52025388e-03 -2.87251058e-03  2.54209014e-03
 -5.11682453e-03 -2.75335298e-03  2.84167239e-03  6.99560449e-04
  1.11688925e-04 -1.63603656e-03 -1.73341876e-04  9.84678743e-04
 -4.90762386e-03  4.34816291e-04  2.37591960e-03  9.43620340e-04
  3.30499047e-03  1.31647903e-04 -2.58888560e-03 -2.18038005e-03]",0.003001651,2
4,John Carpenter,297,109,0,145,Richard Masur,957,13782838,Horror|Mystery|Sci-Fi,Wilford Brimley,The Thing ,258078,1757,David Clennon,0,alien creature|alien life form|antarctica|isolation|paranoia,911,English,USA,R,1982,163,23000,"[-5.32674184e-03  3.60742491e-03  7.91795843e-04  4.53924760e-03
  3.71810817e-03 -4.67674527e-03 -4.91830753e-04  2.53104605e-03
  4.84682806e-03 -1.69341033e-03 -4.59004939e-03  2.05159863e-03
 -7.99032103e-04  3.07667721e-03 -3.54407658e-03 -2.66030338e-03
  8.27484415e-04  1.23358390e-04 -1.74905348e-03 -5.72888041e-03
 -3.09793092e-03 -5.85617498e-03 -2.16835551e-03  5.27856825e-03
 -1.00372434e-02 -7.17644533e-03 -3.05342255e-03 -3.74566298e-06
 -1.03316677e-03 -1.37943681e-03  2.20583519e-03 -3.46726971e-03
  6.99530076e-03 -9.57310852e-03 -2.84366473e-03  1.20916180e-02
  3.18220747e-03  1.59934990e-03  2.51891930e-03 -2.77667050e-03
  1.04678636e-02 -7.94489682e-03 -1.47968344e-03 -4.55064187e-03
 -3.33417370e-03 -4.54957876e-03 -3.40304268e-03  6.06297981e-03
  2.40766350e-03  8.60652328e-03 -4.27581044e-03 -6.59390492e-03
  1.12160509e-02 -6.06659707e-03 -3.71956266e-03 -4.51275334e-03
  7.83280376e-03 -9.34814848e-03  8.51480057e-04  2.20591179e-03
  2.97239260e-03 -2.18403584e-04 -3.73964827e-03  1.42558047e-03
 -2.08499748e-03  6.16144203e-03  6.26581628e-03 -4.17890260e-03
  3.14187934e-03  6.39155321e-03 -1.92329439e-03 -1.26521359e-03
 -2.45329528e-03 -5.26240654e-03 -4.11149551e-04  4.09873726e-04
 -8.57652747e-04 -1.70469459e-03 -5.29698236e-03  3.47463822e-04
  2.88872560e-03 -3.63859860e-03 -5.73378243e-03  3.26263427e-04
 -3.16629512e-03 -9.54664405e-03  1.28151905e-02  3.46463476e-03
  3.78075056e-04 -1.81499426e-03  5.15820645e-03  5.42999385e-03
  3.28940316e-03  2.48576328e-03 -1.02532934e-02  3.42278136e-03
  6.92604575e-03  1.83511013e-03 -5.06471843e-03 -8.60161148e-03]",0.001725949,4
5,Peter Jackson,297,171,0,857,Orlando Bloom,16000,313837577,Action|Adventure|Drama|Fantasy,Christopher Lee,The Lord of the Rings: The Fellowship of the Ring ,1238746,22342,Billy Boyd,2,elf|hobbit|middle earth|quest|ring,5060,English,New Zealand,PG-13,2001,5000,21000,"[-4.2586620e-03  3.6257182e-03 -1.5326265e-03  1.5128748e-03
  4.0328777e-03 -3.7819282e-03  1.3148875e-05  3.0517110e-03
  2.7754598e-03 -1.2844239e-03 -1.6538948e-03 -7.4515649e-04
 -7.8950856e-05  2.9936326e-03 -1.8195001e-03 -2.5994685e-03
  3.3875025e-04  1.7679433e-03 -1.4291359e-03 -3.3509969e-03
 -1.6067661e-03 -5.9437305e-03 -1.2085758e-03  3.4195823e-03
 -6.5742964e-03 -5.4846299e-03 -2.3099594e-03 -1.5006661e-03
 -1.1446187e-03 -3.2734530e-04  7.1532844e-04 -3.0757233e-03
  4.9460120e-03 -8.0110412e-03 -2.0541945e-03  8.7820571e-03
  1.3324091e-03 -2.0708372e-04  3.8947971e-03 -2.6477447e-03
  1.0247799e-02 -6.7178421e-03 -1.2505495e-03 -4.0162951e-03
 -2.3776479e-03 -3.4237406e-03 -2.0951771e-03  3.7201769e-03
  1.7035570e-03  4.9895602e-03 -2.6719291e-03 -6.5871878e-03
  8.8051986e-03 -5.7823351e-03 -1.9839196e-03 -3.3708501e-03
  6.7675328e-03 -7.5913919e-03  1.0785408e-04  6.5546730e-05
  1.1058531e-03  1.6552486e-04 -1.2781250e-03  9.2837121e-04
 -1.2737291e-03  6.4512705e-03  3.8375570e-03 -2.1128752e-03
  1.3094897e-03  3.3548824e-03 -9.2628581e-04 -2.0689913e-03
 -9.5021742e-04 -3.5543751e-03 -5.5506804e-05  4.1573279e-04
 -1.6899470e-03 -1.4401514e-03 -3.6379364e-03 -2.9310695e-04
  2.3193811e-03 -2.1903524e-03 -3.5842627e-03 -5.3723640e-04
 -2.1725681e-03 -9.4547207e-03  1.0164275e-02  1.7525719e-03
  3.2121729e-04 -2.0204927e-03  4.5832689e-03  5.1019299e-03
  2.8620348e-03  8.0796157e-04 -7.7911182e-03  2.7717440e-03
  5.6513972e-03 -5.1633728e-04 -4.0159193e-03 -6.7965575e-03]",0.001876032,4
6,Steven Soderbergh,186,116,0,471,Bernie Mac,11000,183405771,Crime|Thriller,Brad Pitt,Ocean's Eleven ,402645,13028,Elliott Gould,4,card dealer|casino|criminal mastermind|recruiting|ulcer,845,English,USA,PG-13,2001,1000,0,"[-4.11432004e-04 -4.48834558e-04 -1.00295676e-03 -6.88145519e-04
  1.46131171e-03 -4.37596376e-04  6.59388490e-04 -1.21860718e-03
  2.04872899e-03 -1.66347716e-03 -9.04240005e-04  1.23560627e-03
  9.74791183e-05  1.54757639e-04  4.24265396e-04 -3.22885899e-04
 -4.94657375e-04 -3.68317560e-05 -1.70956878e-03  1.41310491e-04
 -2.66774907e-04 -1.13841763e-03 -1.11468355e-04 -1.03213557e-03
 -2.25103484e-03 -1.13727013e-03 -9.18380625e-04  1.58664095e-03
 -5.83403162e-04 -4.59367875e-04 -1.05600484e-04 -8.07580655e-04
 -4.05320636e-04 -1.08626694e-03 -1.42805162e-03  2.72070826e-03
 -1.27733627e-04  1.72453801e-04  8.96197103e-04 -1.60659387e-04
  1.88707910e-03 -9.60112375e-04 -1.11918082e-04 -3.50535091e-04
 -1.58568786e-03 -8.91692413e-04 -8.92119191e-04 -4.73171443e-04
  1.16625265e-03 -8.18128639e-04 -1.81297248e-04 -2.04973156e-03
  1.71060464e-03 -2.27179192e-03  1.91721105e-04 -1.32461183e-03
  1.69765975e-04  2.31673737e-04 -4.82471631e-04 -1.66745158e-03
 -1.46884972e-03  2.40895577e-04 -5.60810440e-04 -6.05847454e-04
 -7.16208247e-04 -1.13935646e-04 -3.56551580e-04  1.88853825e-04
  1.14126783e-03  8.87213973e-04 -7.30074767e-04 -5.79878397e-04
 -7.25931604e-04 -4.12565132e-05 -1.62937376e-03 -1.26843667e-03
 -1.29213600e-04 -1.36207207e-03 -1.87709753e-04 -1.86141173e-04
  8.02520197e-04  1.85430690e-04  1.14943972e-03 -7.14614056e-04
  5.76324819e-04 -1.72677392e-03  9.20846302e-04 -9.86376428e-04
  6.40343525e-04 -5.10405109e-04  9.47482651e-04  6.96056173e-04
  1.71934045e-03 -6.87309424e-04  1.45011087e-04  7.55177636e-04
  6.76939089e-04 -2.89667514e-04 -8.79247091e-04 -1.90542918e-03]",0.004427435,3
7,Roger Avary,37,99,675,164,Salvator Xuereb,902,418953,Crime|Drama|Thriller,Eric Stoltz,Killing Zoe ,17322,1582,Jean-Hugues Anglade,0,bank|bastille day|call girl|childhood friend|drugs,93,English,France,R,1993,424,853,"[-1.3852554e-03  2.0030246e-03  1.1507493e-03 -2.0133320e-04
 -9.3009381e-05  9.0014236e-04 -2.3040283e-03  5.3524214e-04
 -1.2411894e-03 -2.3741082e-03  2.1965709e-03  1.6168958e-03
  1.1024750e-03  7.7202218e-05 -2.5614191e-04 -3.0129415e-03
  1.3393373e-04  1.0446315e-03  2.0427234e-03 -3.1203870e-03
 -2.5394291e-04 -1.6516116e-03  6.0906517e-05  1.6880664e-03
 -2.5185524e-04 -2.6581783e-03 -1.5546940e-03 -7.7056815e-04
 -7.6655962e-04  4.2816368e-04  8.7644270e-04 -8.7985676e-04
  1.1399256e-03 -2.3534454e-03  3.0225841e-05  1.9384206e-03
 -1.2471653e-03 -1.6950509e-03  2.2270973e-03 -3.9357709e-04
  1.2034877e-03 -9.4470999e-04 -4.1364873e-04 -7.4913586e-04
 -2.9142823e-03  1.2144903e-03 -2.1309869e-03  1.2449274e-03
  8.5387961e-05 -3.6163267e-04 -2.9483170e-03  9.1886194e-04
  4.0291678e-03  1.0692396e-03 -4.1259994e-04 -8.7194901e-04
  1.1941830e-03 -1.3201497e-03 -2.2309486e-04  1.3913622e-03
 -4.2558537e-04  2.0758496e-03 -2.6690061e-03 -1.2787053e-04
 -8.5696217e-04  7.3539664e-04  1.0105262e-03  4.7121302e-04
  1.2458781e-03  6.8481546e-04  1.7797682e-03 -8.9107547e-04
 -6.2193361e-04  1.3629248e-04 -8.4354600e-04 -5.1116064e-04
 -7.5069844e-04  6.8795955e-05 -1.5917285e-04  6.0390006e-04
 -5.3642935e-04 -1.7734891e-03 -7.3311542e-04 -5.2103540e-04
 -9.4142882e-04 -6.1002106e-04  1.8276470e-03  1.4967811e-03
  2.3527129e-04  6.8200316e-04  4.1203221e-04  2.0772095e-03
 -1.4441919e-03 -1.3458984e-03 -1.3045205e-03  1.2558760e-03
 -1.4523909e-03  1.4702516e-04 -1.8061046e-03 -1.9279601e-03]",0.000825454,2
8,George Cukor,82,170,165,244,Rex Harrison,453,72000000,Drama|Family|Musical|Romance,Jeremy Brett,My Fair Lady ,66959,1164,Theodore Bikel,1,colonel|flower girl|professor|street|wager,258,English,USA,Approved,1964,272,0,"[-1.3634783e-03 -1.7670434e-03  1.0513987e-03 -1.2837440e-03
  1.8778666e-03 -1.1100763e-03  1.3713846e-03  1.8176642e-03
  2.4622714e-03  3.6960377e-04 -1.4697867e-03  1.5157111e-03
 -1.2938859e-03  4.7077992e-04 -1.2092908e-03 -6.8913662e-04
  7.1377651e-04  8.8964379e-04  8.5544470e-04 -1.1510932e-03
 -1.6442746e-03 -1.6928493e-03 -4.7569699e-04  2.3005193e-03
 -1.6143421e-03 -6.4515130e-04 -1.0660548e-03 -1.6160564e-03
  9.0769370e-04 -1.6009785e-03  1.8391800e-03  8.6771051e-04
  3.2865640e-04 -2.3896461e-03 -3.8439484e-05  2.0775751e-03
 -1.9391341e-03  2.7200792e-04  3.2604558e-03  1.8400412e-04
  1.0044608e-03 -2.1768720e-03 -2.5496215e-03 -6.6026422e-04
 -1.2544808e-03 -2.6770329e-04 -2.9671576e-04  5.0531107e-04
 -1.1075404e-03  9.9505635e-04 -1.6773813e-03 -2.0345403e-03
  3.8188029e-04 -3.6855097e-04 -4.5931421e-04  2.2083746e-04
  2.0150677e-03 -8.0055266e-05  1.8660100e-03  8.7159727e-04
  1.2047190e-03  9.7664364e-04 -5.0780870e-04  9.5142238e-04
  5.0795707e-04  1.8622921e-03  8.2242495e-04  9.9805545e-04
  1.2977232e-03  1.3536271e-03 -1.4602439e-03  1.7158187e-04
 -2.1278718e-03  4.8081842e-04  8.2142017e-04 -4.8495054e-05
 -1.2985944e-03 -5.9960200e-04 -1.2403275e-03 -1.4163730e-03
 -7.3636585e-04  2.3723443e-03 -2.7543574e-03 -7.4642530e-04
 -5.5550592e-04 -1.3673437e-03  1.6504502e-03  2.2243196e-03
  8.0722274e-04 -3.7291041e-04  5.4025597e-05  2.1893505e-03
  5.1467930e-04  2.1522623e-03 -1.0219867e-03  2.0397641e-03
  2.6831757e-03  5.3877995e-04 -7.8582141e-04 -1.8332804e-03]",0.000300165,3
9,Lasse Hallström,107,108,529,83,Camryn Manheim,11000,8535575,Drama,Morgan Freeman,An Unfinished Life ,24033,11519,Lynda Boyd,3,abusive boyfriend|bear|car accident|ranch|wyoming,152,English,USA,PG-13,2005,329,0,"[-8.2517526e-04  1.5532483e-03 -1.2557342e-03 -1.1516070e-03
  5.0190144e-04  9.8175928e-04  2.8480354e-03 -7.1660295e-04
 -9.0519263e-04 -4.4973069e-04  4.7641788e-05 -1.4995817e-03
  2.0995212e-03  4.0400584e-04  9.5513904e-05  2.9573531e-04
 -3.0304559e-03  1.2563653e-03  6.2347390e-06 -2.1769253e-04
  1.6878980e-03 -2.8380856e-03  6.6642338e-06 -1.5758872e-03
 -3.2233016e-03 -1.3228613e-03 -1.2968656e-03 -2.5137928e-03
  3.6701164e-04 -1.3225930e-03  1.4468102e-03  8.0101239e-04
  2.1137448e-03 -2.3712017e-05  3.5680155e-04  1.5341357e-03
 -1.2617294e-03 -8.8668009e-04  3.7588063e-04 -9.6042716e-04
  3.8415187e-03 -3.5906179e-04 -7.5473456e-04  1.2806383e-03
 -1.2774263e-03 -2.0584380e-03 -1.8628038e-03  1.4075082e-03
 -1.2839698e-04  1.0275129e-03 -2.8165074e-03  1.0700847e-03
  3.6959529e-03 -4.3312917e-04 -6.6885957e-04 -1.4478568e-03
  1.2259529e-03 -8.3826552e-04  1.7474429e-04 -9.0372330e-04
  1.9346982e-03 -3.6564216e-04  3.1685436e-04  5.9522147e-04
 -5.9985969e-04  2.4465728e-05 -4.3627503e-04 -6.0701539e-04
  1.6582706e-03  2.1485093e-03  1.0209056e-03  6.1988446e-04
 -1.0387272e-03 -1.5364654e-03  4.8604934e-04 -4.1370124e-05
  1.5626904e-03 -7.5289415e-04 -1.4099048e-04  1.5235078e-03
  2.2916049e-03 -6.2884839e-04  6.5569888e-04 -1.3336800e-03
 -5.8291235e-04 -5.7309010e-04  3.9956984e-03  2.1068065e-03
 -1.5428854e-03 -2.1620484e-03 -2.3131646e-05  2.5322859e-03
 -2.6542056e-04  3.5616147e-04 -2.3545253e-03  9.8230981e-04
  1.1698438e-03 -6.1519613e-04 -1.0399064e-03 -7.8409287e-04]",0.003827105,2
10,Lajos Koltai,73,134,45,0,Péter Fancsikai,9,195888,Drama|Romance|War,Marcell Nagy,Fateless ,5603,11,Bálint Péntek,0,bus|death|gay slur|hatred|jewish,45,Hungarian,Hungary,R,2005,2,607,"[-1.28623261e-03  1.40958559e-03  3.56137054e-04 -2.66492669e-03
 -2.42134207e-04 -7.98972091e-04  1.26099109e-03 -1.87731523e-03
  1.00959158e-04  4.16780706e-04  5.46281866e-04 -5.11049060e-04
  1.90391415e-03 -1.07627222e-03 -8.79737709e-05 -1.07609038e-03
 -1.24269258e-03  6.25313492e-04  6.99291995e-05 -1.36409493e-04
  7.41754426e-04 -1.07457628e-03 -5.81362168e-04 -5.99450024e-04
 -3.30360723e-04  7.79411697e-04 -8.90993048e-04 -4.01653844e-04
 -1.47911115e-03  3.27040143e-05  1.56971335e-03 -8.59206019e-04
  9.16302088e-04 -3.88661661e-04 -1.30211795e-03  2.46000267e-03
 -1.49173290e-03  1.95178334e-04  2.20510457e-03 -7.27198960e-04
 -6.95425377e-04 -1.48125662e-04 -1.00871001e-03 -1.46734412e-03
  1.55034044e-03 -1.55283569e-03 -1.14607421e-04  1.26486842e-03
 -1.77519090e-04 -3.45427688e-04  4.25914361e-04 -1.88115658e-03
  2.21317238e-03  9.29233094e-04 -1.71972042e-05 -2.02030037e-03
 -1.19274055e-05 -2.45627668e-03 -5.72008721e-04 -3.18773586e-04
  3.45517357e-04 -1.94781940e-04  1.60265517e-05 -5.02542709e-04
 -1.85016822e-03  8.25231546e-04 -9.39441961e-04 -1.54918805e-03
 -2.30646296e-03  3.42821120e-04  1.43227226e-04 -1.37976056e-03
 -2.14241422e-03 -9.73327784e-04  6.98181917e-04 -1.07473158e-03
 -7.66285113e-04 -8.66604212e-04 -1.40199449e-03 -6.58875739e-04
  7.87794183e-04 -2.75510218e-04  1.03588682e-03 -9.69573040e-04
  9.53701499e-04 -1.40061975e-03  9.77313262e-04  6.49502093e-04
  5.32163482e-04  7.35840877e-05  6.09987183e-04  2.83098780e-05
  4.70239931e-04  6.49768976e-04 -1.98579323e-03  2.18074420e-04
  9.49726847e-04  9.67328961e-04 -1.73337804e-03 -2.27423944e-03]",0.000300165,3
